Machine Type,Machine ID,Technician,Date,Work Order Number,Technician Notes,Time Spent (minutes),Downtime (minutes)
IMM,1000,Technician 1,2024-06-06,12,test,90,90
ROBOT,2002,Technician 3,2024-06-06,98,este es otro test,50,50
ROBOT,2003,Technician 3,2024-06-07,,test3,23,23
THERMO,3003,Technician 3,2024-06-07,568,Some more actions to repair the machine,40,40
T1XX,804,Technician 2,2024-06-06,,test 4,45,45
SOFT-TRIM,502,Technician 1,2024-06-07,45,more tests1,100,100
VINIL,701,Technician 3,2024-05-29,,Se cambio resistencia danada,240,240
OTROS,1402,Technician 3,2024-05-26,1234,Cambio de compresor,1200,0
OTROS,1400,Technician 2,2024-06-07,,sdda,20,20
GAP HIDDER,1302,Technician 1,2024-06-03,159,test 5,300,300
